Wavelength (nm),spheres,cubes,decahedra,rods
617,0.18603,0.42021,0.81541,0.1085
618,0.18235,0.41137,0.8032,0.11021
619,0.17849,0.40275,0.79071,0.11189
620,0.1742,0.3937,0.77854,0.11371
621,0.17031,0.38517,0.76668,0.11559
622,0.16682,0.37681,0.75364,0.11755
623,0.16257,0.36829,0.7405,0.11959
624,0.15933,0.35997,0.72751,0.12174
625,0.15555,0.35256,0.71461,0.12391
626,0.15283,0.34504,0.70125,0.12613
627,0.14943,0.33751,0.68845,0.1285
628,0.14675,0.33051,0.67578,0.13101
629,0.1436,0.3233,0.66318,0.13358
630,0.14046,0.31645,0.65076,0.1362
631,0.13754,0.30998,0.63881,0.13908
632,0.13495,0.30346,0.62669,0.14196
633,0.13197,0.29704,0.61475,0.145
634,0.12956,0.29072,0.6028,0.14825
635,0.12656,0.28478,0.59119,0.15154
636,0.12445,0.27891,0.57961,0.15504
637,0.12187,0.27346,0.56863,0.15866
638,0.11944,0.26794,0.55734,0.1624
639,0.11729,0.26254,0.54623,0.16636
640,0.1152,0.25748,0.53623,0.17055
641,0.11304,0.25265,0.52614,0.17485
642,0.11069,0.24755,0.51529,0.17944
643,0.10859,0.2428,0.50504,0.18414
644,0.10658,0.23816,0.49559,0.18913
645,0.10539,0.23415,0.48585,0.19427
646,0.10299,0.22967,0.47696,0.19986
647,0.10121,0.22514,0.46778,0.20552
648,0.09961,0.22108,0.45869,0.21147
649,0.09758,0.21688,0.4496,0.21777
650,0.09588,0.21316,0.44096,0.22441
651,0.09438,0.2097,0.43275,0.23111
652,0.09312,0.20627,0.42527,0.23844
653,0.09144,0.20264,0.41796,0.24595
654,0.08935,0.19884,0.41062,0.25388
655,0.08766,0.19474,0.40032,0.26223
656,0.08462,0.18934,0.39227,0.27084
657,0.08257,0.18832,0.39264,0.27994
658,0.08333,0.1853,0.38074,0.28944
659,0.08258,0.18219,0.37371,0.29939
660,0.08128,0.17951,0.36661,0.30977
661,0.07993,0.17649,0.36017,0.32058
662,0.07859,0.17382,0.3538,0.33174
663,0.07731,0.17091,0.34754,0.34344
664,0.07648,0.16847,0.34118,0.35549
665,0.07514,0.1658,0.33534,0.36813
666,0.07384,0.16326,0.32929,0.38114
667,0.07283,0.1607,0.32354,0.39469
668,0.07163,0.15837,0.31814,0.40883
669,0.07042,0.15591,0.31267,0.42316
670,0.0695,0.15345,0.30733,0.43815
671,0.06833,0.15128,0.30204,0.45351
672,0.06772,0.14914,0.29722,0.46925
673,0.06634,0.14698,0.29249,0.48543
674,0.06562,0.14487,0.28777,0.50206
675,0.06474,0.14269,0.28284,0.51909
676,0.06384,0.1408,0.27822,0.53645
677,0.06276,0.13879,0.27395,0.55407
678,0.06217,0.137,0.26958,0.57182
679,0.06101,0.13494,0.26523,0.59001
680,0.06026,0.13318,0.26119,0.60827
681,0.05946,0.13126,0.25719,0.62684
682,0.05902,0.1296,0.25335,0.64535
683,0.05825,0.12788,0.24946,0.66398
684,0.05755,0.12624,0.24554,0.68249
685,0.0569,0.12467,0.24202,0.70097
686,0.05638,0.12318,0.23853,0.71909
687,0.05537,0.12144,0.23504,0.73769
688,0.05477,0.12,0.23167,0.7559
689,0.05408,0.1185,0.22863,0.77384
690,0.05362,0.11706,0.22524,0.79125
691,0.05322,0.11557,0.22206,0.80845
692,0.05244,0.11432,0.21907,0.82514
693,0.0518,0.11289,0.21608,0.84162
694,0.05113,0.11141,0.21305,0.85753
695,0.05051,0.11005,0.21028,0.87275
696,0.05016,0.10881,0.20751,0.8872
697,0.04958,0.10746,0.2047,0.90083
698,0.049,0.10632,0.20201,0.91384
699,0.04852,0.1051,0.19949,0.92667
700,0.04777,0.10374,0.19695,0.93775
701,0.04745,0.10259,0.19441,0.94833
702,0.04705,0.10153,0.19209,0.95829
703,0.04653,0.10036,0.18965,0.96694
704,0.0459,0.0991,0.1872,0.97518
705,0.04569,0.09812,0.18511,0.98182
706,0.04499,0.09708,0.18272,0.98719
707,0.04463,0.09595,0.18048,0.99244
708,0.04388,0.09503,0.17855,0.99528
709,0.04342,0.09403,0.17645,0.99845
710,0.04294,0.09293,0.17437,1
711,0.04268,0.09208,0.17234,0.9998
712,0.04219,0.09101,0.17028,0.99955
713,0.04178,0.09014,0.16841,0.99816
714,0.04154,0.08912,0.16656,0.99471
715,0.04085,0.08829,0.1649,0.99112
716,0.04066,0.08736,0.16302,0.98548
717,0.03992,0.08643,0.16115,0.97979
718,0.03973,0.08555,0.15934,0.97225
719,0.03941,0.08467,0.15775,0.96486
720,0.03905,0.08393,0.15603,0.95529
721,0.03839,0.08309,0.15445,0.94523
722,0.03812,0.08229,0.15291,0.9345
723,0.03774,0.08154,0.15126,0.92282
724,0.03741,0.08072,0.14969,0.91097
725,0.03722,0.0799,0.14813,0.89809
726,0.0369,0.07907,0.1466,0.88375
727,0.03662,0.07846,0.14521,0.8697
728,0.03651,0.07775,0.14383,0.85421
729,0.03597,0.0771,0.1423,0.83919
730,0.03581,0.07643,0.14088,0.82241
731,0.03546,0.0758,0.13955,0.80652
732,0.03493,0.07501,0.1382,0.78989
733,0.03474,0.07427,0.13684,0.773
734,0.03427,0.0736,0.13551,0.75564
735,0.03428,0.07304,0.13425,0.73832
736,0.03407,0.07232,0.13294,0.72067
737,0.03367,0.07162,0.13169,0.70326
738,0.03338,0.07104,0.13062,0.68602
739,0.03318,0.07042,0.12918,0.66803
740,0.03288,0.0697,0.12812,0.65041
741,0.03248,0.06911,0.12693,0.63313
742,0.03222,0.06853,0.12579,0.61571
743,0.0318,0.06786,0.12474,0.5984
744,0.03171,0.06739,0.12365,0.58172
745,0.0315,0.06679,0.12242,0.56512
746,0.03136,0.06643,0.12154,0.54867
747,0.03117,0.06579,0.12035,0.53228
748,0.03074,0.06522,0.11943,0.51666
749,0.03052,0.06447,0.11837,0.50099
750,0.0302,0.06405,0.11721,0.48579
751,0.02993,0.06344,0.11628,0.47069
752,0.02968,0.06284,0.11536,0.45639
753,0.0294,0.06249,0.11434,0.4423
754,0.02883,0.06187,0.11334,0.42839
755,0.02889,0.06146,0.11251,0.41462
756,0.02856,0.06091,0.11158,0.40167
